iter	Logloss
0	0.6429629326
1	0.5681088448
2	0.5305604458
3	0.5100769997
4	0.486829567
5	0.4507806778
6	0.4257115364
7	0.4024187088
8	0.386030221
9	0.3720163345
10	0.3629090309
11	0.3484326363
12	0.3357211113
13	0.3211366653
14	0.3055213928
15	0.2978827953
16	0.2858118057
17	0.2773360491
18	0.2702089787
19	0.2619526863
20	0.2529345036
21	0.2486051083
22	0.2410501003
23	0.2335478306
24	0.2280388117
25	0.2200133801
26	0.2155828476
27	0.2057695389
28	0.2027140617
29	0.1988821149
30	0.1931625009
31	0.1904489756
32	0.1866935611
33	0.1830991745
34	0.1812325716
35	0.178485775
36	0.1753692985
37	0.1726967335
38	0.1702981472
39	0.1683381796
40	0.1669045687
41	0.1665948272
42	0.1627588511
43	0.1586215258
44	0.1581307769
45	0.1544580936
46	0.1531849742
47	0.1505307078
48	0.1484799147
49	0.1479610443
50	0.1474370837
51	0.1447458267
52	0.1423312664
53	0.1419600725
54	0.1397776961
55	0.1393873334
56	0.13886199
57	0.1384847999
58	0.1374765635
59	0.1370981455
60	0.136321342
61	0.1342815161
62	0.1331666946
63	0.1304095626
64	0.1276926279
65	0.1253193974
66	0.1227898717
67	0.1220203161
68	0.1209760904
69	0.1190761924
70	0.1171879768
71	0.1150336981
72	0.1143458247
73	0.1140398979
74	0.1137068987
75	0.1134120345
76	0.1116844654
77	0.1115328789
78	0.1092269421
79	0.1077007532
