iter	Passed	Remaining
0	6	519
1	12	488
2	31	798
3	36	695
4	54	819
5	69	853
6	74	780
7	92	828
8	106	837
9	124	870
10	142	895
11	160	908
12	176	910
13	196	924
14	199	862
15	225	901
16	228	845
17	242	834
18	257	825
19	272	818
20	278	781
21	294	775
22	318	789
23	343	800
24	352	775
25	366	761
26	386	759
27	407	757
28	416	732
29	431	719
30	438	692
31	446	669
32	456	650
33	468	634
34	484	623
35	497	607
36	512	595
37	528	584
38	532	559
39	550	550
40	558	531
41	568	514
42	578	497
43	591	484
44	606	471
45	608	450
46	638	448
47	646	430
48	658	416
49	660	396
50	672	382
51	677	364
52	696	354
53	729	351
54	733	333
55	747	320
56	772	311
57	786	298
58	812	289
59	836	278
60	862	268
61	886	257
62	901	243
63	904	226
64	916	211
65	925	196
66	932	180
67	950	167
68	952	151
69	961	137
70	972	123
71	976	108
72	1006	96
73	1009	81
74	1026	68
75	1028	54
76	1035	40
77	1047	26
78	1062	13
79	1078	0
